1,1,1,2020-01-02 00:00:00
2,2,2,2020-01-03 00:00:00
3,3,3,2020-01-04 00:00:00
4,4,4,2020-01-05 00:00:00
5,5,5,2020-01-06 00:00:00
6,6,1,2020-01-07 00:00:00
7,7,2,2020-01-08 00:00:00
8,8,3,2020-01-09 00:00:00
9,9,4,2020-01-10 00:00:00
10,10,5,2020-01-11 00:00:00
11,1,1,2020-01-12 00:00:00
12,2,2,2020-01-13 00:00:00
13,3,3,2020-01-14 00:00:00
14,4,4,2020-01-15 00:00:00
15,5,5,2020-01-16 00:00:00
16,6,1,2020-01-17 00:00:00
17,7,2,2020-01-18 00:00:00
18,8,3,2020-01-19 00:00:00
19,9,4,2020-01-20 00:00:00
20,10,5,2020-01-21 00:00:00
21,1,1,2020-01-22 00:00:00
22,2,2,2020-01-23 00:00:00
23,3,3,2020-01-24 00:00:00
24,4,4,2020-01-25 00:00:00
25,5,5,2020-01-26 00:00:00
26,6,1,2020-01-27 00:00:00
27,7,2,2020-01-28 00:00:00
28,8,3,2020-01-29 00:00:00
29,9,4,2020-01-30 00:00:00
30,10,5,2020-01-31 00:00:00
31,1,1,2020-02-01 00:00:00
32,2,2,2020-02-02 00:00:00
33,3,3,2020-02-03 00:00:00
34,4,4,2020-02-04 00:00:00
35,5,5,2020-02-05 00:00:00
36,6,1,2020-02-06 00:00:00
37,7,2,2020-02-07 00:00:00
38,8,3,2020-02-08 00:00:00
39,9,4,2020-02-09 00:00:00
40,10,5,2020-02-10 00:00:00
41,1,1,2020-02-11 00:00:00
42,2,2,2020-02-12 00:00:00
43,3,3,2020-02-13 00:00:00
44,4,4,2020-02-14 00:00:00
45,5,5,2020-02-15 00:00:00
46,6,1,2020-02-16 00:00:00
47,7,2,2020-02-17 00:00:00
48,8,3,2020-02-18 00:00:00
49,9,4,2020-02-19 00:00:00
50,10,5,2020-02-20 00:00:00
51,1,1,2020-02-21 00:00:00
52,2,2,2020-02-22 00:00:00
53,3,3,2020-02-23 00:00:00
54,4,4,2020-02-24 00:00:00
55,5,5,2020-02-25 00:00:00
56,6,1,2020-02-26 00:00:00
57,7,2,2020-02-27 00:00:00
58,8,3,2020-02-28 00:00:00
59,9,4,2020-02-29 00:00:00
60,10,5,2020-03-01 00:00:00
61,1,1,2020-03-02 00:00:00
62,2,2,2020-03-03 00:00:00
63,3,3,2020-03-04 00:00:00
64,4,4,2020-03-05 00:00:00
65,5,5,2020-03-06 00:00:00
66,6,1,2020-03-07 00:00:00
67,7,2,2020-03-08 00:00:00
68,8,3,2020-03-09 00:00:00
69,9,4,2020-03-10 00:00:00
70,10,5,2020-03-11 00:00:00
71,1,1,2020-03-12 00:00:00
72,2,2,2020-03-13 00:00:00
73,3,3,2020-03-14 00:00:00
74,4,4,2020-03-15 00:00:00
75,5,5,2020-03-16 00:00:00
76,6,1,2020-03-17 00:00:00
77,7,2,2020-03-18 00:00:00
78,8,3,2020-03-19 00:00:00
79,9,4,2020-03-20 00:00:00
80,10,5,2020-03-21 00:00:00
81,1,1,2020-03-22 00:00:00
82,2,2,2020-03-23 00:00:00
83,3,3,2020-03-24 00:00:00
84,4,4,2020-03-25 00:00:00
85,5,5,2020-03-26 00:00:00
86,6,1,2020-03-27 00:00:00
87,7,2,2020-03-28 00:00:00
88,8,3,2020-03-29 00:00:00
89,9,4,2020-03-30 00:00:00
90,10,5,2020-03-31 00:00:00
91,1,1,2020-04-01 00:00:00
92,2,2,2020-04-02 00:00:00
93,3,3,2020-04-03 00:00:00
94,4,4,2020-04-04 00:00:00
95,5,5,2020-04-05 00:00:00
96,6,1,2020-04-06 00:00:00
97,7,2,2020-04-07 00:00:00
98,8,3,2020-04-08 00:00:00
99,9,4,2020-04-09 00:00:00
100,10,5,2020-04-10 00:00:00
101,1,1,2020-04-11 00:00:00
102,2,2,2020-04-12 00:00:00
103,3,3,2020-04-13 00:00:00
104,4,4,2020-04-14 00:00:00
105,5,5,2020-04-15 00:00:00
106,6,1,2020-04-16 00:00:00
107,7,2,2020-04-17 00:00:00
108,8,3,2020-04-18 00:00:00
109,9,4,2020-04-19 00:00:00
110,10,5,2020-04-20 00:00:00
111,1,1,2020-04-21 00:00:00
112,2,2,2020-04-22 00:00:00
113,3,3,2020-04-23 00:00:00
114,4,4,2020-04-24 00:00:00
115,5,5,2020-04-25 00:00:00
116,6,1,2020-04-26 00:00:00
117,7,2,2020-04-27 00:00:00
118,8,3,2020-04-28 00:00:00
119,9,4,2020-04-29 00:00:00
120,10,5,2020-04-30 00:00:00
121,1,1,2020-05-01 00:00:00
122,2,2,2020-05-02 00:00:00
123,3,3,2020-05-03 00:00:00
124,4,4,2020-05-04 00:00:00
125,5,5,2020-05-05 00:00:00
126,6,1,2020-05-06 00:00:00
127,7,2,2020-05-07 00:00:00
128,8,3,2020-05-08 00:00:00
129,9,4,2020-05-09 00:00:00
130,10,5,2020-05-10 00:00:00
131,1,1,2020-05-11 00:00:00
132,2,2,2020-05-12 00:00:00
133,3,3,2020-05-13 00:00:00
134,4,4,2020-05-14 00:00:00
135,5,5,2020-05-15 00:00:00
136,6,1,2020-05-16 00:00:00
137,7,2,2020-05-17 00:00:00
138,8,3,2020-05-18 00:00:00
139,9,4,2020-05-19 00:00:00
140,10,5,2020-05-20 00:00:00
141,1,1,2020-05-21 00:00:00
142,2,2,2020-05-22 00:00:00
143,3,3,2020-05-23 00:00:00
144,4,4,2020-05-24 00:00:00
145,5,5,2020-05-25 00:00:00
146,6,1,2020-05-26 00:00:00
147,7,2,2020-05-27 00:00:00
148,8,3,2020-05-28 00:00:00
149,9,4,2020-05-29 00:00:00
150,10,5,2020-05-30 00:00:00
151,1,1,2020-05-31 00:00:00
152,2,2,2020-06-01 00:00:00
153,3,3,2020-06-02 00:00:00
154,4,4,2020-06-03 00:00:00
155,5,5,2020-06-04 00:00:00
156,6,1,2020-06-05 00:00:00
157,7,2,2020-06-06 00:00:00
158,8,3,2020-06-07 00:00:00
159,9,4,2020-06-08 00:00:00
160,10,5,2020-06-09 00:00:00
161,1,1,2020-06-10 00:00:00
162,2,2,2020-06-11 00:00:00
163,3,3,2020-06-12 00:00:00
164,4,4,2020-06-13 00:00:00
165,5,5,2020-06-14 00:00:00
166,6,1,2020-06-15 00:00:00
167,7,2,2020-06-16 00:00:00
168,8,3,2020-06-17 00:00:00
169,9,4,2020-06-18 00:00:00
170,10,5,2020-06-19 00:00:00
171,1,1,2020-06-20 00:00:00
172,2,2,2020-06-21 00:00:00
173,3,3,2020-06-22 00:00:00
174,4,4,2020-06-23 00:00:00
175,5,5,2020-06-24 00:00:00
176,6,1,2020-06-25 00:00:00
177,7,2,2020-06-26 00:00:00
178,8,3,2020-06-27 00:00:00
179,9,4,2020-06-28 00:00:00
180,10,5,2020-06-29 00:00:00
181,1,1,2020-06-30 00:00:00
182,2,2,2020-07-01 00:00:00
183,3,3,2020-07-02 00:00:00
184,4,4,2020-07-03 00:00:00
185,5,5,2020-07-04 00:00:00
186,6,1,2020-07-05 00:00:00
187,7,2,2020-07-06 00:00:00
188,8,3,2020-07-07 00:00:00
189,9,4,2020-07-08 00:00:00
190,10,5,2020-07-09 00:00:00
191,1,1,2020-07-10 00:00:00
192,2,2,2020-07-11 00:00:00
193,3,3,2020-07-12 00:00:00
194,4,4,2020-07-13 00:00:00
195,5,5,2020-07-14 00:00:00
196,6,1,2020-07-15 00:00:00
197,7,2,2020-07-16 00:00:00
198,8,3,2020-07-17 00:00:00
199,9,4,2020-07-18 00:00:00
200,10,5,2020-07-19 00:00:00
201,1,1,2020-07-20 00:00:00
202,2,2,2020-07-21 00:00:00
203,3,3,2020-07-22 00:00:00
204,4,4,2020-07-23 00:00:00
205,5,5,2020-07-24 00:00:00
206,6,1,2020-07-25 00:00:00
207,7,2,2020-07-26 00:00:00
208,8,3,2020-07-27 00:00:00
209,9,4,2020-07-28 00:00:00
210,10,5,2020-07-29 00:00:00
211,1,1,2020-07-30 00:00:00
212,2,2,2020-07-31 00:00:00
213,3,3,2020-08-01 00:00:00
214,4,4,2020-08-02 00:00:00
215,5,5,2020-08-03 00:00:00
216,6,1,2020-08-04 00:00:00
217,7,2,2020-08-05 00:00:00
218,8,3,2020-08-06 00:00:00
219,9,4,2020-08-07 00:00:00
220,10,5,2020-08-08 00:00:00
221,1,1,2020-08-09 00:00:00
222,2,2,2020-08-10 00:00:00
223,3,3,2020-08-11 00:00:00
224,4,4,2020-08-12 00:00:00
225,5,5,2020-08-13 00:00:00
226,6,1,2020-08-14 00:00:00
227,7,2,2020-08-15 00:00:00
228,8,3,2020-08-16 00:00:00
229,9,4,2020-08-17 00:00:00
230,10,5,2020-08-18 00:00:00
231,1,1,2020-08-19 00:00:00
232,2,2,2020-08-20 00:00:00
233,3,3,2020-08-21 00:00:00
234,4,4,2020-08-22 00:00:00
235,5,5,2020-08-23 00:00:00
236,6,1,2020-08-24 00:00:00
237,7,2,2020-08-25 00:00:00
238,8,3,2020-08-26 00:00:00
239,9,4,2020-08-27 00:00:00
240,10,5,2020-08-28 00:00:00
241,1,1,2020-08-29 00:00:00
242,2,2,2020-08-30 00:00:00
243,3,3,2020-08-31 00:00:00
244,4,4,2020-09-01 00:00:00
245,5,5,2020-09-02 00:00:00
246,6,1,2020-09-03 00:00:00
247,7,2,2020-09-04 00:00:00
248,8,3,2020-09-05 00:00:00
249,9,4,2020-09-06 00:00:00
250,10,5,2020-09-07 00:00:00
251,1,1,2020-09-08 00:00:00
252,2,2,2020-09-09 00:00:00
253,3,3,2020-09-10 00:00:00
254,4,4,2020-09-11 00:00:00
255,5,5,2020-09-12 00:00:00
256,6,1,2020-09-13 00:00:00
257,7,2,2020-09-14 00:00:00
258,8,3,2020-09-15 00:00:00
259,9,4,2020-09-16 00:00:00
260,10,5,2020-09-17 00:00:00
261,1,1,2020-09-18 00:00:00
262,2,2,2020-09-19 00:00:00
263,3,3,2020-09-20 00:00:00
264,4,4,2020-09-21 00:00:00
265,5,5,2020-09-22 00:00:00
266,6,1,2020-09-23 00:00:00
267,7,2,2020-09-24 00:00:00
268,8,3,2020-09-25 00:00:00
269,9,4,2020-09-26 00:00:00
270,10,5,2020-09-27 00:00:00
271,1,1,2020-09-28 00:00:00
272,2,2,2020-09-29 00:00:00
273,3,3,2020-09-30 00:00:00
274,4,4,2020-10-01 00:00:00
